transaction_id,transactional_date,product_id,customer_id,payment,credit_card,loyalty_card,cost,quantity,price
1,04-05-21 2:00,P0494,4,visa,4041593010498820,F,17.33,2,18.29
2,04-05-21 3:04,P0221,5,visa,4041596151234550,F,0.59,1,1.49
3,04-05-21 3:56,P0625,5,visa,4041594885335890,F,5.15,3,5.89
4,04-05-21 5:20,P0431,8,mastercard,5108753677552340,F,10.67,2,11.59
5,04-05-21 5:45,P0058,5,mastercard,5108752372298260,T,11.38,2,12.39
6,04-05-21 6:58,P0385,6,americanexpress,374288563442549,F,13.22,1,14.69
7,04-05-21 7:03,P0575,4,visa,4041598869758,F,2.81,1,3.99
8,04-05-21 7:45,P0187,5,americanexpress,374283491107967,F,4.17,1,4.89
9,04-05-21 9:58,P0074,7,mastercard,5108753211196280,F,18.11,1,19.79
10,04-05-21 15:51,P0456,5,mastercard,5048370523083280,T,18.35,2,20.19
11,04-05-21 16:13,P0519,5,mastercard,5048379752512880,F,12.45,3,14.09
12,04-05-21 17:07,P0071,12,visa,4041594984149250,F,13.09,5,14.69
13,04-05-21 19:57,P0550,5,americanexpress,374288299677079,F,15.35,1,17.09
14,04-05-21 23:06,P0507,4,mastercard,5048376045855900,F,8.17,3,8.89
15,05-05-21 5:22,P0684,6,visa,4041595178401830,F,6.15,1,7.49
16,05-05-21 5:58,P0321,7,americanexpress,374288461042953,T,17.35,2,18.29
17,05-05-21 7:40,P0450,9,visa,4041590043782,F,3.76,2,4.79
18,05-05-21 7:58,P0457,10,americanexpress,374283070152186,F,2.02,1,2.59
19,05-05-21 9:57,P0389,5,mastercard,5048376876298970,F,5.95,1,7.19
20,05-05-21 10:11,P0152,7,americanexpress,374288062180277,F,16.33,1,17.99
21,05-05-21 14:01,P0282,7,visa,4041594051333720,F,10.86,1,11.59
22,05-05-21 14:31,P0480,5,visa,4041599842820,F,12.02,2,13.49
23,05-05-21 15:00,P0634,6,mastercard,5108752673600880,F,16.47,1,18.09
24,05-05-21 19:15,P0347,6,visa,4041598170819,F,5.37,1,6.29
25,05-05-21 19:37,P0161,6,visa,4041596038533640,F,19.42,1,21.29
26,05-05-21 19:58,P0455,6,mastercard,5108757235239080,F,1.63,2,1.79
27,05-05-21 20:09,P0622,5,visa,4041596972700190,F,13.87,1,14.89
28,06-05-21 5:08,P0190,3,mastercard,5048374002788450,F,18.93,2,20.89
29,06-05-21 5:16,P0432,7,mastercard,5108756241400330,F,17.36,1,18.39
30,06-05-21 5:58,P0524,4,americanexpress,374283854417458,T,10.66,2,11.59
31,06-05-21 14:58,P0042,5,visa,4041599935977140,T,19.59,1,21.39
32,06-05-21 16:16,P0474,4,visa,4041594587730160,F,15.66,2,17.49
33,06-05-21 16:43,P0500,4,mastercard,5048371164242150,F,7.53,1,8.29
34,06-05-21 18:41,P0517,4,mastercard,5048377748169420,F,5.11,1,5.79
35,07-05-21 2:32,P0413,7,,6334501394605290000,F,7.35,2,8.19
36,07-05-21 2:59,P0497,6,mastercard,5108759436996020,F,19.75,1,21.39
37,07-05-21 4:36,P0560,4,visa,4041590202339,F,1.4,2,1.69
38,07-05-21 9:44,P0249,5,mastercard,5048373408030110,F,4.12,3,4.89
39,07-05-21 13:51,P0599,2,visa,4041596275107,T,13.54,2,14.79
40,07-05-21 14:50,P0396,9,mastercard,5108754745678790,F,4.18,1,4.89
41,07-05-21 21:36,P0337,6,mastercard,5108751127851570,F,19.24,6,21.19
42,07-05-21 22:59,P0445,4,americanexpress,374283543850705,F,0.15,1,1.19
43,08-05-21 0:23,P0097,6,americanexpress,374288165189936,F,9.91,7,11.29
44,08-05-21 1:20,P0384,4,mastercard,5108750131849990,F,4.83,3,5.19
45,08-05-21 1:48,P0431,4,americanexpress,374283964832018,F,10.67,4,11.59
46,08-05-21 3:04,P0170,10,americanexpress,374288240835982,F,8.13,4,8.89
47,08-05-21 11:56,P0451,6,mastercard,5048379772765290,F,2.41,2,3.29
48,08-05-21 13:06,P0694,7,americanexpress,374283513164061,F,0.23,3,1.29
49,08-05-21 13:43,P0661,3,visa,4041593023791700,F,8.21,4,8.99
50,08-05-21 14:01,P0541,13,americanexpress,374288359993838,F,2.8,5,3.89
51,08-05-21 14:58,P0736,4,visa,4041593367493,F,2.87,1,3.99
52,08-05-21 16:42,P0346,6,mastercard,5108750415993080,F,12.21,2,13.79
53,08-05-21 17:09,P0335,4,mastercard,5048379720157370,F,17.17,1,18.19
